time,temperature,humidity
1502728416000,26.8,76.5
1502729016000,26.9,76.5
1502729616000,27.0,76.6
1502730216000,27.0,76.1
1502730816000,27.2,76.2
1502731416000,27.3,75.7
1502732016000,27.4,75.8
1502732616000,27.7,75.4
1502733216000,28.0,74.5
1502733816000,28.4,73.7
1502734416000,28.8,72.9
1502735016000,29.0,72.0
1502735616000,29.1,71.6
1502736216000,29.3,70.7
1502736816000,29.5,70.2
1502737416000,29.6,69.8
1502738016000,29.8,69.4
1502738616000,29.9,68.9
1502739216000,30.0,68.5
1502739816000,30.1,68.0
1502740416000,30.5,67.6
1502741016000,31.7,65.9
1502741616000,32.1,65.0
1502742216000,32.2,64.5
1502742816000,32.2,64.5
1502743416000,32.0,64.5
1502744016000,31.7,64.9
1502744616000,31.6,65.4
1502745216000,31.4,65.4
1502745816000,31.3,65.8
1502746416000,31.2,65.8
1502747016000,31.1,65.8
1502747616000,31.0,66.2
1502748216000,30.9,66.2
1502748816000,30.9,66.2
1502749416000,30.8,66.2
1502750016000,30.7,66.7
1502750616000,30.7,66.7
1502751216000,30.6,66.7
1502751816000,30.6,66.7
1502752416000,30.6,66.7
1502753016000,30.5,67.1
1502753616000,30.5,67.1
1502754216000,30.5,67.1
1502754816000,30.5,67.1
1502755416000,30.5,67.1
1502756016000,30.4,67.1
1502756616000,30.4,67.1
1502757216000,30.4,67.1
1502757816000,30.3,67.1
1502758416000,30.3,67.6
1502759016000,30.3,67.6
1502759616000,30.3,67.6
1502760216000,30.2,67.6
1502760816000,30.2,67.5
1502761416000,30.2,67.5
1502762016000,30.2,67.5
1502762616000,30.1,67.5
1502763216000,30.1,67.5
1502763816000,30.1,67.5
1502764416000,30.1,68.0
1502765016000,30.0,68.0
1502765616000,30.0,68.0
1502766216000,30.0,68.0
1502766816000,29.9,68.0
1502767416000,29.9,68.0
1502768016000,29.9,68.0
1502768616000,29.9,68.0
1502769216000,29.8,68.0
1502769816000,29.8,68.0
1502770416000,29.8,68.0
1502771016000,29.7,68.4
1502771616000,29.7,68.4
1502772216000,29.7,68.4
1502772816000,29.6,68.4
1502773416000,29.6,68.4
1502774016000,29.6,68.4
1502774616000,29.5,68.4
1502775216000,29.5,68.9
1502775816000,29.5,68.9
1502776416000,29.5,68.8
1502777016000,29.5,68.8
1502777616000,29.5,68.8
1502778216000,29.5,68.8
1502778816000,29.4,68.8
1502779416000,29.4,68.8
1502780016000,29.4,68.8
1502780616000,29.4,68.8
1502781216000,29.3,68.8
1502781816000,29.3,69.3
1502782416000,29.3,69.3
1502783016000,29.2,69.3
1502783616000,29.2,69.3
1502784216000,29.2,69.3
1502784816000,29.2,69.3
1502785416000,29.1,69.2
1502786016000,29.1,69.2
1502786616000,29.1,69.2
1502787216000,29.1,69.7
1502787816000,29.0,69.7
1502788416000,29.0,69.7
1502789016000,29.0,69.7
1502789616000,29.0,69.7
1502790216000,28.9,69.7
1502790816000,28.9,69.7
1502791416000,28.9,69.7
1502792016000,28.9,69.7
1502792616000,28.8,69.7
1502793216000,28.8,70.1
1502793816000,28.8,70.1
1502794416000,28.8,70.1
1502795016000,28.7,70.1
1502795616000,28.7,70.1
1502796216000,28.7,70.1
1502796816000,28.7,70.1
1502797416000,28.7,70.1
1502798016000,28.6,70.1
1502798616000,28.6,70.1
1502799216000,28.6,70.1
1502799816000,28.6,70.5
1502800416000,28.5,70.5
1502801016000,28.5,70.5
1502801616000,28.5,70.5
1502802216000,28.5,70.5
1502802816000,28.5,70.5
1502803416000,28.5,70.5
1502804016000,28.5,70.5
1502804616000,28.4,71.0
1502805216000,28.4,71.0
1502805816000,28.4,71.0
1502806416000,28.4,71.0
1502807016000,28.4,71.0
1502807616000,28.3,71.0
1502808216000,28.3,71.0
1502808816000,28.3,71.0
1502809416000,28.3,71.0
1502810016000,28.3,71.0
1502810616000,28.3,71.0
1502811216000,28.3,71.0
1502811816000,28.3,71.0
1502812416000,28.3,71.0
1502813016000,28.3,71.4
1502813616000,28.3,71.0
1502814216000,28.3,71.4
1502814816000,28.3,71.4
1502815416000,28.3,71.4
1502816016000,28.3,71.4
1502816616000,28.3,71.4
1502817216000,28.3,71.4
1502817816000,28.3,71.4
1502818416000,28.3,71.4
1502819016000,28.3,71.4
1502819616000,28.3,71.4
1502820216000,28.3,71.4
1502820816000,28.3,71.4
1502821416000,28.3,71.4
1502822016000,28.3,71.4
1502822616000,28.3,71.4
1502823216000,28.3,71.4
1502823816000,28.4,71.4
1502824416000,28.4,71.4
1502825016000,28.4,71.4
1502825616000,28.4,71.0
1502826216000,28.4,71.0
1502826816000,28.5,71.4
1502827416000,28.5,71.0
1502828016000,28.5,71.0
1502828616000,28.5,71.0
1502829216000,28.5,71.0
1502829816000,28.5,71.0
1502830416000,28.5,71.0
1502831016000,28.6,71.0
1502831616000,28.6,71.0
1502832216000,28.6,71.0
1502832816000,28.7,70.6
1502833416000,28.7,70.6
1502834016000,28.7,70.6
1502834616000,28.8,70.6
1502835216000,28.8,70.6
1502835816000,28.8,70.6
1502836416000,28.8,70.6
1502837016000,28.8,70.6
1502837616000,28.9,70.1
1502838216000,28.9,70.1
1502838816000,28.9,70.2
1502839416000,28.9,70.2
1502840016000,28.9,70.2
1502840616000,29.0,70.2
1502841216000,29.0,70.2
1502841816000,29.0,70.2
1502842416000,29.0,70.2
1502843016000,29.0,70.2
1502843616000,29.0,70.2
1502844216000,29.0,69.7
1502844816000,29.0,69.7
1502845416000,29.1,70.2
1502846016000,29.1,69.7
1502846616000,29.1,69.7
1502847216000,29.1,69.7
1502847816000,29.1,69.7
1502848416000,29.1,69.7
1502849016000,29.1,69.7
1502849616000,29.1,69.7
1502850216000,29.1,69.7
1502850816000,29.1,69.7
1502851416000,29.1,69.7
1502852016000,29.0,69.7
1502852616000,29.0,69.7
1502853216000,29.0,69.7
1502853816000,29.0,69.7
1502854416000,29.0,69.7
1502855016000,29.0,69.7
1502855616000,29.0,69.7
1502856216000,29.0,69.7
1502856816000,29.0,69.7
1502857416000,28.9,69.7
1502858016000,28.9,69.7
1502858616000,28.9,69.7
1502859216000,28.9,69.7
1502859816000,28.9,69.7
1502860416000,28.9,70.1
1502861016000,28.9,69.7
1502861616000,28.8,69.7
1502862216000,28.8,69.7
1502862816000,28.8,69.7
1502863416000,28.8,69.7
1502864016000,28.8,70.1
1502864616000,28.8,70.1
1502865216000,28.8,70.1
1502865816000,28.7,70.1
1502866416000,28.7,70.1
1502867016000,28.7,70.1
1502867616000,28.7,70.1
1502868216000,28.7,70.1
1502868816000,28.7,70.1
1502869416000,28.6,70.1
1502870016000,28.6,70.1
1502870616000,28.6,70.1
1502871216000,28.6,70.1
1502871816000,28.6,70.1
1502872416000,28.6,70.1
1502873016000,28.5,70.1
1502873616000,28.5,70.1
1502874216000,28.5,70.1
1502874816000,28.5,70.1
1502875416000,28.5,70.1
1502876016000,28.5,70.1
1502876616000,28.5,70.1
1502877216000,28.5,70.5
1502877816000,28.5,70.5
1502878416000,28.5,70.5
1502879016000,28.5,70.5
1502879616000,28.5,70.5
1502880216000,28.4,70.5
1502880816000,28.4,70.5
1502881416000,28.4,70.5
1502882016000,28.4,70.5
1502882616000,28.4,70.5
1502883216000,28.4,70.5
1502883816000,28.3,70.5
1502884416000,28.3,71.0
1502885016000,28.3,71.0
1502885616000,28.3,71.0
1502886216000,28.3,71.0
1502886816000,28.2,70.9
1502887416000,28.2,71.0
1502888016000,28.2,70.9
1502888616000,28.2,70.9
1502889216000,28.2,70.9
1502889816000,28.2,70.9
1502890416000,28.2,70.9
1502891016000,28.1,70.9
1502891616000,28.1,71.4
1502892216000,28.1,71.4
1502892816000,28.1,71.4
1502893416000,28.1,71.4
1502894016000,28.1,71.4
1502894616000,28.1,71.4
1502895216000,28.1,71.4
1502895816000,28.1,71.4
1502896416000,28.1,71.4
1502897016000,28.1,71.4
1502897616000,28.1,71.4
1502898216000,28.0,71.4
1502898816000,28.0,71.4
1502899416000,28.0,71.4
1502900016000,28.0,71.4
1502900616000,28.0,71.4
1502901216000,28.1,71.4
1502901816000,28.1,71.4
1502902416000,28.1,71.4
1502903016000,28.1,71.4
1502903616000,28.1,71.4
1502904216000,28.1,71.4
1502904816000,28.1,71.4
1502905416000,28.2,71.4
1502906016000,28.2,71.4
1502906616000,28.2,71.4
1502907216000,28.2,71.4
1502907816000,28.3,71.0
1502908416000,28.3,71.0
1502909016000,28.3,71.0
1502909616000,28.3,71.4
1502910216000,28.4,71.0
1502910816000,28.4,71.0
1502911416000,28.5,71.0
1502912016000,28.5,71.0
1502912616000,28.5,71.0
1502913216000,28.5,71.0
1502913816000,28.5,71.0
1502914416000,28.5,71.0
1502915016000,28.6,70.6
1502915616000,28.6,70.6
1502916216000,28.7,70.6
1502916816000,28.7,70.6
1502917416000,28.8,70.6
1502918016000,28.8,70.6
1502918616000,28.8,70.1
1502919216000,28.9,70.2
1502919816000,28.9,70.2
1502920416000,29.0,70.2
1502921016000,29.0,70.2
1502921616000,29.0,69.7
1502922216000,29.1,69.7
1502922816000,29.1,69.7
1502923416000,29.1,69.7
1502924016000,29.2,69.7
1502924616000,29.2,69.7
1502925216000,29.2,69.3
1502925816000,29.2,69.3
1502926416000,29.3,69.3
1502927016000,29.3,69.3
1502927616000,29.3,69.3
1502928216000,29.3,69.3
1502928816000,29.4,69.3
1502929416000,29.4,69.3
1502930016000,29.4,68.8
1502930616000,29.4,68.8
1502931216000,29.5,68.8
1502931816000,29.5,68.8
1502932416000,29.5,68.8
1502933016000,29.5,68.8
1502933616000,29.5,68.8
1502934216000,29.5,68.8
1502934816000,29.5,68.8
1502935416000,29.5,68.8
1502936016000,29.5,68.8
1502936616000,29.5,68.8
1502937216000,29.5,68.8
1502937816000,29.5,68.8
1502938416000,29.5,68.8
1502939016000,29.5,68.8
1502939616000,29.5,68.8
1502940216000,29.5,68.8
1502940816000,29.5,68.8
1502941416000,29.5,68.8
1502942016000,29.5,68.8
1502942616000,29.5,68.8
1502943216000,29.4,68.8
1502943816000,29.4,68.8
1502944416000,29.4,68.8
1502945016000,29.4,68.8
1502945616000,29.4,68.8
1502946216000,29.3,68.8
1502946816000,29.3,68.8
1502947416000,29.3,68.8
1502948016000,29.3,68.8
1502948616000,29.2,68.8
1502949216000,29.2,68.8
1502949816000,29.2,68.8
1502950416000,29.2,68.8
1502951016000,29.1,68.8
1502951616000,29.1,69.2
1502952216000,29.1,69.2
1502952816000,29.1,69.2
1502953416000,29.0,69.2
1502954016000,29.0,69.2
1502954616000,29.0,69.2
1502955216000,29.0,69.2
1502955816000,28.9,69.2
1502956416000,28.9,69.2
1502957016000,28.9,69.2
1502957616000,28.8,69.2
1502958216000,28.8,69.7
1502958816000,28.8,69.7
1502959416000,28.7,69.6
1502960016000,28.7,69.6
1502960616000,28.7,69.6
1502961216000,28.6,69.6
1502961816000,28.6,69.6
1502962416000,28.6,70.1
1502963016000,28.5,69.6
1502963616000,28.5,70.1
1502964216000,28.5,70.1
1502964816000,28.5,70.1
1502965416000,28.5,70.1
1502966016000,28.5,70.1
1502966616000,28.4,70.1
1502967216000,28.4,70.1
1502967816000,28.4,70.5
1502968416000,28.4,70.5
1502969016000,28.4,70.5
1502969616000,28.3,70.5
1502970216000,28.3,70.5
1502970816000,28.3,70.5
1502971416000,28.3,70.5
1502972016000,28.3,70.5
1502972616000,28.2,70.5
1502973216000,28.2,70.9
1502973816000,28.2,70.9
1502974416000,28.2,70.9
1502975016000,28.2,70.9
1502975616000,28.2,70.9
1502976216000,28.1,70.9
1502976816000,28.1,70.9
1502977416000,28.1,70.9
1502978016000,28.1,70.9
1502978616000,28.1,70.9
1502979216000,28.1,70.9
1502979816000,28.1,70.9
1502980416000,28.1,70.9
1502981016000,28.1,70.9
1502981616000,28.1,71.4
1502982216000,28.1,71.4
1502982816000,28.0,71.4
1502983416000,28.0,71.4
1502984016000,28.0,71.4
1502984616000,28.0,71.4
1502985216000,28.0,71.4
1502985816000,28.0,71.4
1502986416000,28.0,71.4
1502987016000,28.0,71.4
1502987616000,28.0,71.4
1502988216000,28.1,71.4
1502988816000,28.1,71.4
1502989416000,28.1,71.4
1502990016000,28.1,71.4
1502990616000,28.1,71.4
1502991216000,28.1,70.9
1502991816000,28.2,71.4
1502992416000,28.2,70.9
1502993016000,28.2,70.9
1502993616000,28.3,70.9
1502994216000,28.3,71.0
1502994816000,28.3,71.0
1502995416000,28.4,71.0
1502996016000,28.4,71.0
1502996616000,28.4,71.0
1502997216000,28.5,71.0
1502997816000,28.5,71.0
1502998416000,28.5,71.0
1502999016000,28.5,70.5
1502999616000,28.6,70.5
1503000216000,28.6,70.6
1503000816000,28.7,70.6
1503001416000,28.7,70.6
1503002016000,28.8,70.1
1503002616000,28.8,70.1
1503003216000,28.9,70.1
1503003816000,28.9,70.2
1503004416000,29.0,70.2
1503005016000,29.0,69.7
1503005616000,29.1,69.7
1503006216000,29.1,69.7
1503006816000,29.2,69.7
1503007416000,29.2,69.3
1503008016000,29.3,69.3
1503008616000,29.3,69.3
1503009216000,29.4,69.3
1503009816000,29.4,69.3
1503010416000,29.4,69.3
1503011016000,29.5,68.8
1503011616000,29.5,68.8
1503012216000,29.5,68.8
1503012816000,29.5,68.8
1503013416000,29.5,68.8
